"e0","year","isono","sexno","ageno","eduno"
60.1,1980,12,1,0,0
64.4,1985,12,1,0,0
65.6,1990,12,1,0,0
67.7,1995,12,1,0,0
70.1,2000,12,1,0,0
72.6,2005,12,1,0,0
74.1,2010,12,1,0,0
30,1950,24,1,0,0
31.1,1955,24,1,0,0
32.6,1960,24,1,0,0
34.5,1965,24,1,0,0
36.5,1970,24,1,0,0
38.4,1975,24,1,0,0
39,1980,24,1,0,0
39.5,1985,24,1,0,0
40,1990,24,1,0,0
42.5,1995,24,1,0,0
47.5,2000,24,1,0,0
53,2005,24,1,0,0
57.4,2010,24,1,0,0
56,1950,28,1,0,0
58.4,1955,28,1,0,0
60.5,1960,28,1,0,0
62.2,1965,28,1,0,0
63.9,1970,28,1,0,0
65.4,1975,28,1,0,0
66.8,1980,28,1,0,0
68,1985,28,1,0,0
69.3,1990,28,1,0,0
70.4,1995,28,1,0,0
71.5,2000,28,1,0,0
72.6,2005,28,1,0,0
73.3,2010,28,1,0,0
60.4,1950,32,1,0,0
62.1,1955,32,1,0,0
62.5,1960,32,1,0,0
62.8,1965,32,1,0,0
64.1,1970,32,1,0,0
65.4,1975,32,1,0,0
66.8,1980,32,1,0,0
67.6,1985,32,1,0,0
68.6,1990,32,1,0,0
69.7,1995,32,1,0,0
70.6,2000,32,1,0,0
71.3,2005,32,1,0,0
72.2,2010,32,1,0,0
59.7,1950,51,1,0,0
61.8,1955,51,1,0,0
63.9,1960,51,1,0,0
66,1965,51,1,0,0
67.5,1970,51,1,0,0
67.3,1975,51,1,0,0
67.7,1980,51,1,0,0
65.8,1985,51,1,0,0
64.5,1990,51,1,0,0
66.8,1995,51,1,0,0
69.1,2000,51,1,0,0
69.4,2005,51,1,0,0
70.6,2010,51,1,0,0
59.1,1950,533,1,0,0
63,1955,533,1,0,0
64.8,1960,533,1,0,0
66.4,1965,533,1,0,0
67.5,1970,533,1,0,0
68.8,1975,533,1,0,0
70.5,1980,533,1,0,0
70.8,1985,533,1,0,0
71.1,1990,533,1,0,0
71.2,1995,533,1,0,0
71.5,2000,533,1,0,0
72.2,2005,533,1,0,0
72.9,2010,533,1,0,0
66.7,1950,36,1,0,0
67.5,1955,36,1,0,0
67.8,1960,36,1,0,0
67.6,1965,36,1,0,0
68.5,1970,36,1,0,0
70.2,1975,36,1,0,0
71.7,1980,36,1,0,0
73,1985,36,1,0,0
74.7,1990,36,1,0,0
76,1995,36,1,0,0
77.8,2000,36,1,0,0
79.2,2005,36,1,0,0
80.2,2010,36,1,0,0
63.8,1950,40,1,0,0
64.9,1955,40,1,0,0
66.4,1960,40,1,0,0
66.7,1965,40,1,0,0
67.1,1970,40,1,0,0
68.5,1975,40,1,0,0
69.5,1980,40,1,0,0
71.5,1985,40,1,0,0
72.7,1990,40,1,0,0
74.2,1995,40,1,0,0
75.9,2000,40,1,0,0
77.3,2005,40,1,0,0
78.4,2010,40,1,0,0
55.1,1950,31,1,0,0
57,1955,31,1,0,0
58,1960,31,1,0,0
59,1965,31,1,0,0
59.9,1970,31,1,0,0
60.2,1975,31,1,0,0
60.7,1980,31,1,0,0
61.5,1985,31,1,0,0
60.1,1990,31,1,0,0
62.7,1995,31,1,0,0
64.6,2000,31,1,0,0
66.9,2005,31,1,0,0
68.6,2010,31,1,0,0
58.5,1950,44,1,0,0
60,1955,44,1,0,0
61.5,1960,44,1,0,0
62.8,1965,44,1,0,0
63.9,1970,44,1,0,0
65,1975,44,1,0,0
65.9,1980,44,1,0,0
66.8,1985,44,1,0,0
67.7,1990,44,1,0,0
68.4,1995,44,1,0,0
70,2000,44,1,0,0
71.2,2005,44,1,0,0
72,2010,44,1,0,0
39.6,1950,48,1,0,0
45.3,1955,48,1,0,0
52.7,1960,48,1,0,0
59,1965,48,1,0,0
63.6,1970,48,1,0,0
67,1975,48,1,0,0
69.4,1980,48,1,0,0
70.8,1985,48,1,0,0
72,1990,48,1,0,0
73.1,1995,48,1,0,0
74.2,2000,48,1,0,0
74.9,2005,48,1,0,0
75.6,2010,48,1,0,0
40.3,1950,50,1,0,0
43.9,1955,50,1,0,0
46.9,1960,50,1,0,0
49,1965,50,1,0,0
46.3,1970,50,1,0,0
52,1975,50,1,0,0
54.1,1980,50,1,0,0
56.7,1985,50,1,0,0
59.6,1990,50,1,0,0
63.5,1995,50,1,0,0
66.2,2000,50,1,0,0
68.2,2005,50,1,0,0
69.8,2010,50,1,0,0
54.7,1950,52,1,0,0
57.4,1955,52,1,0,0
59.7,1960,52,1,0,0
62.2,1965,52,1,0,0
64,1970,52,1,0,0
65.7,1975,52,1,0,0
67.1,1980,52,1,0,0
68.4,1985,52,1,0,0
69.5,1990,52,1,0,0
70.5,1995,52,1,0,0
71.3,2000,52,1,0,0
72.1,2005,52,1,0,0
72.9,2010,52,1,0,0
57.6,1950,112,1,0,0
63.3,1955,112,1,0,0
66,1960,112,1,0,0
66.7,1965,112,1,0,0
66.4,1970,112,1,0,0
66,1975,112,1,0,0
65.3,1980,112,1,0,0
66.5,1985,112,1,0,0
64,1990,112,1,0,0
62,1995,112,1,0,0
62.3,2000,112,1,0,0
63.6,2005,112,1,0,0
66.5,2010,112,1,0,0
65.3,1950,56,1,0,0
66.8,1955,56,1,0,0
67.4,1960,56,1,0,0
67.7,1965,56,1,0,0
68.3,1970,56,1,0,0
69.4,1975,56,1,0,0
70.6,1980,56,1,0,0
71.9,1985,56,1,0,0
73,1990,56,1,0,0
74.1,1995,56,1,0,0
75.3,2000,56,1,0,0
76.8,2005,56,1,0,0
78,2010,56,1,0,0
54.6,1950,84,1,0,0
57.3,1955,84,1,0,0
60.1,1960,84,1,0,0
63.1,1965,84,1,0,0
65.5,1970,84,1,0,0
66.9,1975,84,1,0,0
68.5,1980,84,1,0,0
69.5,1985,84,1,0,0
68.2,1990,84,1,0,0
66,1995,84,1,0,0
65.7,2000,84,1,0,0
67,2005,84,1,0,0
67.2,2010,84,1,0,0
33.6,1950,204,1,0,0
35.8,1955,204,1,0,0
37.8,1960,204,1,0,0
39.9,1965,204,1,0,0
41.6,1970,204,1,0,0
43.7,1975,204,1,0,0
45.5,1980,204,1,0,0
49.5,1985,204,1,0,0
53.4,1990,204,1,0,0
53.2,1995,204,1,0,0
54.6,2000,204,1,0,0
57.1,2005,204,1,0,0
58.5,2010,204,1,0,0
31.9,1950,64,1,0,0
33.3,1955,64,1,0,0
34.9,1960,64,1,0,0
37.6,1965,64,1,0,0
40.4,1970,64,1,0,0
43.2,1975,64,1,0,0
47,1980,64,1,0,0
50.6,1985,64,1,0,0
54.5,1990,64,1,0,0
58.4,1995,64,1,0,0
62.7,2000,64,1,0,0
66.3,2005,64,1,0,0
68.6,2010,64,1,0,0
38.6,1950,68,1,0,0
40.1,1955,68,1,0,0
41.6,1960,68,1,0,0
43.4,1965,68,1,0,0
45.4,1970,68,1,0,0
47.5,1975,68,1,0,0
49.8,1980,68,1,0,0
52.2,1985,68,1,0,0
54.8,1990,68,1,0,0
57.4,1995,68,1,0,0
60,2000,68,1,0,0
62.7,2005,68,1,0,0
65.3,2010,68,1,0,0
52.6,1950,70,1,0,0
56.9,1955,70,1,0,0
60.1,1960,70,1,0,0
62.7,1965,70,1,0,0
65.3,1970,70,1,0,0
67.2,1975,70,1,0,0
67.8,1980,70,1,0,0
69.2,1985,70,1,0,0
66.2,1990,70,1,0,0
70.9,1995,70,1,0,0
72,2000,70,1,0,0
72.9,2005,70,1,0,0
73.7,2010,70,1,0,0
45.7,1950,72,1,0,0
47.8,1955,72,1,0,0
49.7,1960,72,1,0,0
51.5,1965,72,1,0,0
54.1,1970,72,1,0,0
57.2,1975,72,1,0,0
59.6,1980,72,1,0,0
60.2,1985,72,1,0,0
57.1,1990,72,1,0,0
48.8,1995,72,1,0,0
47.3,2000,72,1,0,0
54.4,2005,72,1,0,0
59.8,2010,72,1,0,0
49.1,1950,76,1,0,0
51.3,1955,76,1,0,0
53.5,1960,76,1,0,0
55.5,1965,76,1,0,0
57.2,1970,76,1,0,0
58.3,1975,76,1,0,0
59.5,1980,76,1,0,0
60.9,1985,76,1,0,0
62.6,1990,76,1,0,0
65.1,1995,76,1,0,0
67.3,2000,76,1,0,0
69.2,2005,76,1,0,0
71,2010,76,1,0,0
56.8,1950,96,1,0,0
59.6,1955,96,1,0,0
62.5,1960,96,1,0,0
64.6,1965,96,1,0,0
66.5,1970,96,1,0,0
68.1,1975,96,1,0,0
69.6,1980,96,1,0,0
70.9,1985,96,1,0,0
72.1,1990,96,1,0,0
73.2,1995,96,1,0,0
74.2,2000,96,1,0,0
75.1,2005,96,1,0,0
75.1,2010,96,1,0,0
60.7,1950,100,1,0,0
65.1,1955,100,1,0,0
68.5,1960,100,1,0,0
68.9,1965,100,1,0,0
68.8,1970,100,1,0,0
68.6,1975,100,1,0,0
68.5,1980,100,1,0,0
68.3,1985,100,1,0,0
67.7,1990,100,1,0,0
67.5,1995,100,1,0,0
68.8,2000,100,1,0,0
69.7,2005,100,1,0,0
70.8,2010,100,1,0,0
30.1,1950,854,1,0,0
32.4,1955,854,1,0,0
34.6,1960,854,1,0,0
37,1965,854,1,0,0
39.1,1970,854,1,0,0
42.2,1975,854,1,0,0
47.2,1980,854,1,0,0
48.3,1985,854,1,0,0
48.1,1990,854,1,0,0
48.3,1995,854,1,0,0
50.5,2000,854,1,0,0
54.6,2005,854,1,0,0
58,2010,854,1,0,0
37.5,1950,108,1,0,0
39,1955,108,1,0,0
40.4,1960,108,1,0,0
41.9,1965,108,1,0,0
42.6,1970,108,1,0,0
44.8,1975,108,1,0,0
46.3,1980,108,1,0,0
47.4,1985,108,1,0,0
45.6,1990,108,1,0,0
49.2,1995,108,1,0,0
50.3,2000,108,1,0,0
52,2005,108,1,0,0
54.2,2010,108,1,0,0
46.9,1950,132,1,0,0
47.6,1955,132,1,0,0
48.2,1960,132,1,0,0
51,1965,132,1,0,0
53.7,1970,132,1,0,0
58.9,1975,132,1,0,0
60.7,1980,132,1,0,0
62.4,1985,132,1,0,0
64,1990,132,1,0,0
66.2,1995,132,1,0,0
69.5,2000,132,1,0,0
69.9,2005,132,1,0,0
70.1,2010,132,1,0,0
39,1950,116,1,0,0
39.5,1955,116,1,0,0
39.7,1960,116,1,0,0
40.1,1965,116,1,0,0
35.3,1970,116,1,0,0
11.9,1975,116,1,0,0
42.8,1980,116,1,0,0
49.6,1985,116,1,0,0
51.9,1990,116,1,0,0
54.2,1995,116,1,0,0
58.5,2000,116,1,0,0
62.7,2005,116,1,0,0
65.5,2010,116,1,0,0
37.2,1950,120,1,0,0
39.1,1955,120,1,0,0
41.4,1960,120,1,0,0
43.5,1965,120,1,0,0
45.9,1970,120,1,0,0
48.5,1975,120,1,0,0
50.5,1980,120,1,0,0
51.2,1985,120,1,0,0
50,1990,120,1,0,0
48.4,1995,120,1,0,0
50.5,2000,120,1,0,0
53.4,2005,120,1,0,0
55.1,2010,120,1,0,0
66.8,1950,124,1,0,0
67.7,1955,124,1,0,0
68.5,1960,124,1,0,0
69,1965,124,1,0,0
69.6,1970,124,1,0,0
70.8,1975,124,1,0,0
72.5,1980,124,1,0,0
73.6,1985,124,1,0,0
74.6,1990,124,1,0,0
75.8,1995,124,1,0,0
77.2,2000,124,1,0,0
78.4,2005,124,1,0,0
79.7,2010,124,1,0,0
32,1950,140,1,0,0
34,1955,140,1,0,0
36,1960,140,1,0,0
38.5,1965,140,1,0,0
42,1970,140,1,0,0
45.5,1975,140,1,0,0
47.2,1980,140,1,0,0
47.2,1985,140,1,0,0
45.7,1990,140,1,0,0
43.5,1995,140,1,0,0
42.5,2000,140,1,0,0
44.6,2005,140,1,0,0
47.8,2010,140,1,0,0
33.4,1950,148,1,0,0
35.1,1955,148,1,0,0
36.9,1960,148,1,0,0
38.8,1965,148,1,0,0
41.2,1970,148,1,0,0
43,1975,148,1,0,0
44.3,1980,148,1,0,0
45.6,1985,148,1,0,0
45.9,1990,148,1,0,0
46.5,1995,148,1,0,0
46.8,2000,148,1,0,0
48,2005,148,1,0,0
50.5,2010,148,1,0,0
66.6,1950,830,1,0,0
67.6,1955,830,1,0,0
67.9,1960,830,1,0,0
68.5,1965,830,1,0,0
68.9,1970,830,1,0,0
69.8,1975,830,1,0,0
71,1980,830,1,0,0
72.1,1985,830,1,0,0
73.3,1990,830,1,0,0
74.5,1995,830,1,0,0
76,2000,830,1,0,0
77.5,2005,830,1,0,0
78.7,2010,830,1,0,0
52.6,1950,152,1,0,0
53.9,1955,152,1,0,0
55.5,1960,152,1,0,0
57.8,1965,152,1,0,0
60.8,1970,152,1,0,0
64.1,1975,152,1,0,0
67.2,1980,152,1,0,0
69.5,1985,152,1,0,0
71.5,1990,152,1,0,0
73,1995,152,1,0,0
74.3,2000,152,1,0,0
75.3,2005,152,1,0,0
76.2,2010,152,1,0,0
42.5,1950,156,1,0,0
43,1955,156,1,0,0
43.3,1960,156,1,0,0
53.5,1965,156,1,0,0
60.2,1970,156,1,0,0
64.1,1975,156,1,0,0
66.3,1980,156,1,0,0
67.4,1985,156,1,0,0
68,1990,156,1,0,0
69.2,1995,156,1,0,0
71.7,2000,156,1,0,0
73.2,2005,156,1,0,0
